Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Product ID,Category,Sub-Category,Product Name,Row ID,Postal Code,Sales,Quantity,Discount,Profit
CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,San Francisco,California,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",21.0,94109.0,22.72,4.0,0.2,7.384
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,22.0,68025.0,19.46,7.0,0.0,5.0596
CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,Fremont,Nebraska,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",23.0,68025.0,60.34,7.0,0.0,15.6884
US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",24.0,19140.0,71.372,2.0,0.3,-1.0196
CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,Orem,Utah,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,25.0,84057.0,1044.63,3.0,0.0,240.2649
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,26.0,90049.0,11.648,2.0,0.2,4.2224
CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,Los Angeles,California,West,TEC-AC-10003027,Technology,Accessories,Easy-staple paper,27.0,90049.0,90.57,3.0,0.0,11.7741
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",28.0,19140.0,3083.43,7.0,0.5,-1665.0522
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,29.0,19140.0,9.618,2.0,0.7,-7.0532
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",30.0,19140.0,124.2,3.0,0.2,15.525
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,31.0,19140.0,3.264,2.0,0.2,1.1016
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",32.0,19140.0,86.304,6.0,0.2,9.7092
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",33.0,19140.0,6.858,6.0,0.7,-5.715
US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,34.0,19140.0,15.76,2.0,0.2,3.546
CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,Houston,Texas,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,35.0,77095.0,29.472,3.0,0.2,9.9468
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,36.0,75080.0,1097.544,7.0,0.2,123.4737
CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,Richardson,Texas,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",37.0,75080.0,190.92,5.0,0.6,-147.963
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",38.0,77041.0,113.328,9.0,0.2,35.415
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",39.0,77041.0,532.3992,3.0,0.32,-46.9764
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",40.0,77041.0,212.058,3.0,0.3,-15.147
CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,Houston,Texas,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,41.0,77041.0,371.168,4.0,0.2,41.7564
CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,Naperville,Illinois,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,42.0,60540.0,147.168,4.0,0.2,16.5564
CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,Los Angeles,California,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",43.0,90049.0,77.88,2.0,0.0,3.894
CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Erin Smith,Corporate,Melbourne,Florida,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",44.0,32935.0,95.616,2.0,0.2,9.5616
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.0,55122.0,45.98,2.0,0.0,19.7714
CA-2016-118255,2016-03-11,2016-03-13,First Class,ON-18715,Odella Nelson,Corporate,Eagan,Minnesota,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,46.0,55122.0,17.46,2.0,0.0,8.2062
CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,Westland,Michigan,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",47.0,48185.0,211.96,4.0,0.0,8.4784
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,TEC-AC-10002167,Technology,Accessories,Easy-staple paper,48.0,19901.0,45.0,3.0,0.0,4.95
CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,Dover,Delaware,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",49.0,19901.0,21.8,2.0,0.0,6.104
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",50.0,47150.0,38.22,6.0,0.0,17.9634
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,51.0,47150.0,75.18,6.0,0.0,35.3346
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,52.0,47150.0,6.16,2.0,0.0,2.9568
CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Darren Powers,Consumer,New Albany,Indiana,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",53.0,47150.0,89.99,1.0,0.0,17.0981
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,54.0,10024.0,15.26,7.0,0.0,6.2566
CA-2016-105816,2016-12-11,2016-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,New York City,New York,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,55.0,10024.0,1029.95,5.0,0.0,298.6855
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,56.0,12180.0,208.56,6.0,0.0,52.14
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,57.0,12180.0,32.4,5.0,0.0,15.552
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,58.0,12180.0,319.41,5.0,0.1,7.098
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",59.0,12180.0,14.56,2.0,0.0,6.9888
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,TEC-AC-10002167,Technology,Accessories,Easy-staple paper,60.0,12180.0,30.0,2.0,0.0,3.3
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,61.0,12180.0,48.48,4.0,0.2,16.362
CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Ted Butterfield,Consumer,Troy,New York,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,62.0,12180.0,1.68,1.0,0.0,0.84
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",63.0,90004.0,13.98,2.0,0.0,6.1512
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",64.0,90004.0,25.824,6.0,0.2,9.3612
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,65.0,90004.0,146.73,3.0,0.0,68.9631
CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,Los Angeles,California,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,66.0,90004.0,79.76,4.0,0.0,22.3328
US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,Chicago,Illinois,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",67.0,60610.0,213.115,5.0,0.3,-15.2225
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",68.0,85234.0,1113.024,8.0,0.2,111.3024
CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,Gilbert,Arizona,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,69.0,85234.0,167.968,4.0,0.2,62.988
CA-2016-119823,2016-06-04,2016-06-06,First Class,KD-16270,Karen Daniels,Consumer,Springfield,Virginia,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",70.0,22153.0,75.88,2.0,0.0,35.6636
CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Henry MacAllister,Consumer,New York City,New York,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,71.0,10009.0,4.616,1.0,0.2,1.731
CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,Jackson,Michigan,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",72.0,49201.0,19.05,3.0,0.0,8.763
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,73.0,38109.0,831.936,8.0,0.2,-114.3912
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",74.0,38109.0,97.04,2.0,0.2,1.213
US-2015-134026,2015-04-26,2015-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,Memphis,Tennessee,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,75.0,38109.0,72.784,1.0,0.2,-18.196
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,76.0,77041.0,1.248,3.0,0.8,-1.9344
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",77.0,77041.0,9.708,3.0,0.6,-5.8248
US-2017-118038,2017-12-09,2017-12-11,First Class,KB-16600,Ken Brennan,Corporate,Houston,Texas,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",78.0,77041.0,27.24,3.0,0.2,2.724
US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Joel Eaton,Consumer,Houston,Texas,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",79.0,77070.0,19.3,5.0,0.6,-14.475
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",80.0,35601.0,208.16,1.0,0.0,56.2032
CA-2016-127208,2016-06-12,2016-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,Decatur,Alabama,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,81.0,35601.0,16.74,3.0,0.0,8.0352
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",82.0,94122.0,14.9,5.0,0.0,4.172
CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,San Francisco,California,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",83.0,94122.0,21.39,1.0,0.0,6.2031
CA-2015-149734,2015-09-03,2015-09-08,Standard Class,JC-16105,Julie Creighton,Corporate,Durham,North Carolina,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,84.0,27707.0,200.984,7.0,0.2,62.8075
US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Christopher Schild,Home Office,Chicago,Illinois,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,85.0,60623.0,230.376,3.0,0.2,-48.9549
CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,86.0,29203.0,301.96,2.0,0.0,33.2156
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,TEC-AC-10001998,Technology,Accessories,Easy-staple paper,87.0,55901.0,19.99,1.0,0.0,6.7966
CA-2017-155558,2017-10-26,2017-11-02,Standard Class,PG-18895,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,88.0,55901.0,6.16,2.0,0.0,2.9568
CA-2016-159695,2016-04-05,2016-04-10,Second Class,GM-14455,Gary Mitchum,Home Office,Houston,Texas,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,89.0,77095.0,158.368,7.0,0.2,13.8572
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,90.0,90036.0,20.1,3.0,0.0,6.633
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,91.0,90036.0,73.584,2.0,0.2,8.2782
CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Jim Sink,Corporate,Los Angeles,California,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,92.0,90036.0,6.48,1.0,0.0,3.1104
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,93.0,55407.0,12.96,2.0,0.0,6.2208
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",94.0,55407.0,53.34,3.0,0.0,16.5354
CA-2015-149587,2015-01-31,2015-02-05,Second Class,KB-16315,Karl Braun,Consumer,Minneapolis,Minnesota,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,95.0,55407.0,32.96,2.0,0.0,16.1504
US-2017-109484,2017-11-06,2017-11-12,Standard Class,RB-19705,Roger Barcio,Home Office,Portland,Oregon,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,96.0,97206.0,5.682,1.0,0.7,-3.788
CA-2017-161018,2017-11-09,2017-11-11,Second Class,PN-18775,Parhena Norris,Home Office,New York City,New York,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,97.0,10009.0,96.53,7.0,0.0,40.5426
CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,Katherine Ducich,Consumer,San Francisco,California,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,98.0,94122.0,51.312,3.0,0.2,17.9592
CA-2016-149223,2016-09-06,2016-09-11,Standard Class,ER-13855,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,99.0,55106.0,77.88,6.0,0.0,22.5852
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,100.0,60610.0,64.624,7.0,0.2,22.6184
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,101.0,60610.0,95.976,3.0,0.2,-10.7973
CA-2016-158568,2016-08-29,2016-09-02,Standard Class,RB-19465,Rick Bensley,Home Office,Chicago,Illinois,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,102.0,60610.0,1.788,3.0,0.8,-3.0396
CA-2016-129903,2016-12-01,2016-12-04,Second Class,GZ-14470,Gary Zandusky,Consumer,Rochester,Minnesota,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),103.0,55901.0,23.92,4.0,0.0,11.7208
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,104.0,80013.0,238.896,6.0,0.2,-26.8758
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",105.0,80013.0,102.36,3.0,0.2,-3.8385
US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Lena Cacioppo,Consumer,Aurora,Colorado,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",106.0,80013.0,36.882,3.0,0.7,-25.8174
