Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Order Date_year,Order Date_month,Order Date_day,Order Date_dayofweek,Order Date_quarter,Ship Date_year,Ship Date_month,Ship Date_day,Ship Date_dayofweek,Ship Date_quarter,Ship Mode_Same Day,Ship Mode_Second Class,Ship Mode_Standard Class,Segment_Corporate,Segment_Home Office,Region_East,Region_South,Region_West,Category_Office Supplies,Category_Technology,Row ID_sqrt,Row ID_reciprocal,Postal Code_sqrt,Postal Code_reciprocal,Sales_log,Sales_sqrt,Sales_reciprocal,Quantity_log,Quantity_sqrt,Quantity_reciprocal,Discount_log,Discount_sqrt,Discount_reciprocal,Profit_log,Profit_sqrt,Profit_reciprocal,Row ID_binned,Postal Code_binned,Sales_binned,Quantity_binned,Discount_binned,Profit_binned
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,False,False,3.3166247903554,0.09090909090909091,300.0533285934352,1.1107161897991826e-05,7.442600508432343,41.30598019657686,0.000586103257327463,2.302585092994046,3.0,0.1111111111111111,0.18232155679395465,0.4472135954999579,5.0,4.457936197274231,9.2362979596806,0.011722065146549257,0,3,3,3,0,3
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,,911.424,4,0.2,68.3568,2014,6,9,0,2,2014,6,14,5,2,False,False,True,False,False,False,False,True,False,True,3.4641016151377544,0.08333333333333333,300.0533285934352,1.1107161897991826e-05,6.816104794316803,30.18979960185228,0.0010971841865037568,1.6094379124341003,2.0,0.25,0.18232155679395465,0.4472135954999579,5.0,4.239264195306484,8.267817124247488,0.014629122486716755,0,3,3,2,0,3
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,2017,4,15,5,2,2017,4,20,3,2,False,False,True,False,False,False,True,False,True,False,3.605551275463989,0.07692307692307693,167.4126637981727,3.567988011560281e-05,2.8065069404432417,3.943602414037196,0.06430041152263374,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.18232155679395465,0.4472135954999579,5.0,1.8630253111150528,2.33306665142683,0.18371546149323928,0,1,0,1,0,1
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,2016,12,5,0,4,2016,12,10,5,4,False,False,True,False,False,False,False,True,True,False,3.7416573867739413,0.07142857142857142,313.213984362129,1.019336819465256e-05,6.0136564746144785,20.198415779461516,0.0024511245759554485,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.18232155679395465,0.4472135954999579,5.0,4.894791876164645,11.514868648838336,0.0075419217721706105,0,3,3,1,0,3
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,2015,11,22,6,4,2015,11,26,3,4,False,False,True,False,True,False,False,False,True,False,3.872983346207417,0.06666666666666667,275.87315925983086,1.3139568496570573e-05,4.24577726598231,8.295179322956196,0.014532771399505885,1.791759469228055,2.23606797749979,0.2,0.5877866649021191,0.8944271909999159,1.25,0.0,0.0,-0.00807376188861438,0,2,2,2,1,0
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,2015,11,22,6,4,2015,11,26,3,4,False,False,True,False,True,False,False,False,True,False,4.0,0.0625,275.87315925983086,1.3139568496570573e-05,1.2652560327428346,1.594992162990151,0.3930817610062893,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.5877866649021191,0.8944271909999159,1.25,0.0,0.0,-0.2620545073375262,0,2,0,1,1,0
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,2014,11,11,1,4,2014,11,18,1,4,False,False,True,False,False,False,False,False,True,False,4.123105625617661,0.058823529411764705,231.75633756167272,1.861816015341364e-05,6.502610119684893,25.804650743615966,0.0015017720910674595,1.9459101490553132,2.449489742783178,0.16666666666666666,0.0,0.0,,2.6614895497210616,3.649328705392267,0.07508860455337298,0,2,3,3,0,2
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2014,5,13,1,2,2014,5,15,3,2,False,True,False,False,False,False,False,True,True,False,4.242640687119285,0.05555555555555555,289.9724124809117,1.1892869035726179e-05,4.034240638152395,7.44983221287567,0.018018018018018018,1.0986122886681098,1.4142135623730951,0.5,0.0,0.0,,2.39698576841553,3.1606961258558215,0.10010010010010009,0,2,1,0,0,2
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,2014,8,27,2,3,2014,9,1,0,3,False,True,False,False,False,False,False,True,True,False,4.358898943540674,0.05263157894736842,306.7719022335651,1.0625976261569031e-05,2.25758772706331,2.925747767665559,0.11682242990654206,1.0986122886681098,1.4142135623730951,0.5,0.0,0.0,,1.2477217112559509,1.5755633912984905,0.40283596519497256,0,3,0,0,0,1
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,2014,8,27,2,3,2014,9,1,0,3,False,True,False,False,False,False,False,True,False,True,4.47213595499958,0.05,306.7719022335651,1.0625976261569031e-05,5.3682164939277035,14.610954794263105,0.00468427955780401,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.18232155679395465,0.4472135954999579,5.0,2.8338601936274457,4.001374763753078,0.062457060770720135,0,3,3,1,0,2
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,2014,8,27,2,3,2014,9,1,0,3,False,True,False,False,False,False,False,True,True,False,4.58257569495584,0.047619047619047616,306.7719022335651,1.0625976261569031e-05,3.1663185741295248,4.766550115125193,0.04401408450704226,1.6094379124341003,2.0,0.25,0.18232155679395465,0.4472135954999579,5.0,2.1263251275786863,2.7173516518846066,0.13542795232936078,0,3,1,2,0,1
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,2016,12,9,4,4,2016,12,13,1,4,False,False,True,True,False,False,False,False,True,False,4.69041575982343,0.045454545454545456,260.8160271148995,1.470047776552738e-05,3.0184717605234805,4.411349000022556,0.051387461459403906,2.0794415416798357,2.6457513110645907,0.14285714285714285,0.0,0.0,,1.8016437913020313,2.249355463238303,0.19764408253616889,0,2,1,3,0,1
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,2016,12,9,4,4,2016,12,13,1,4,False,False,True,True,False,False,False,False,True,False,4.795831523312719,0.043478260869565216,260.8160271148995,1.470047776552738e-05,4.116432158686106,7.767882594375381,0.016572754391779913,2.0794415416798357,2.6457513110645907,0.14285714285714285,0.0,0.0,,2.8147138672904286,3.9608584928017816,0.06374136304530736,0,2,2,3,0,2
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,2017,7,16,6,3,2017,7,18,1,3,False,True,False,False,False,True,False,False,False,False,4.898979485566356,0.041666666666666664,138.3473888441701,5.22466039707419e-05,4.28181948425685,8.448195073505346,0.014011096788656616,1.0986122886681098,1.4142135623730951,0.5,0.262364264467491,0.5477225575051661,3.3333333333333335,0.0,0.0,-0.9807767752059631,0,0,2,0,1,0
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,2015,9,25,4,3,2015,9,30,2,3,False,False,True,False,False,False,False,True,False,False,5.0,0.04,289.92585258993375,1.1896689151409163e-05,6.952374853558705,32.32073637774981,0.0009572767391325157,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.0,0.0,,5.485895499969954,15.500480637709272,0.004162072778837025,0,2,3,1,0,3
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2016,1,16,5,1,2016,1,20,2,1,False,True,False,False,False,False,False,True,True,False,5.0990195135927845,0.038461538461538464,300.08165555395084,1.1105065020155693e-05,2.537499099907171,3.4129166412322465,0.08585164835164835,1.0986122886681098,1.4142135623730951,0.5,0.18232155679395465,0.4472135954999579,5.0,1.652957066347596,2.0548479262466115,0.2368321333838575,0,3,0,0,0,1
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,,90.57,3,0.0,11.7741,2016,1,16,5,1,2016,1,20,2,1,False,True,False,False,False,False,False,True,False,True,5.196152422706632,0.037037037037037035,300.08165555395084,1.1105065020155693e-05,4.517103707119641,9.516827202382105,0.011041183614883517,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.0,0.0,,2.547419683510196,3.431340845791919,0.08493218165295012,0,3,2,1,0,2
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,2015,9,17,3,3,2015,9,21,0,3,False,False,True,False,False,True,False,False,False,False,5.291502622129181,0.03571428571428571,138.3473888441701,5.22466039707419e-05,8.034122154276439,55.52864125836324,0.00032431415663725137,2.0794415416798357,2.6457513110645907,0.14285714285714285,0.4054651081081644,0.7071067811865476,2.0,0.0,0.0,-0.0006005817715504654,0,0,3,3,1,0
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,2015,9,17,3,3,2015,9,21,0,3,False,False,True,False,False,True,False,False,True,False,5.385164807134504,0.034482758620689655,138.3473888441701,5.22466039707419e-05,2.3625506741614797,3.1012900541548833,0.10397171969224371,1.0986122886681098,1.4142135623730951,0.5,0.5306282510621704,0.8366600265340756,1.4285714285714286,0.0,0.0,-0.1417796177621505,0,0,0,0,1,0
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,2015,9,17,3,3,2015,9,21,0,3,False,False,True,False,False,True,False,False,False,False,5.477225575051661,0.03333333333333333,138.3473888441701,5.22466039707419e-05,4.829912458665998,11.144505372604026,0.008051529790660225,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.18232155679395465,0.4472135954999579,5.0,2.80487438573775,3.940177660969109,0.0644122383252818,0,0,2,1,0,2
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,2015,9,17,3,3,2015,9,21,0,3,False,False,True,False,False,True,False,False,True,False,5.5677643628300215,0.03225806451612903,138.3473888441701,5.22466039707419e-05,1.4502076868635432,1.8066543665017942,0.30637254901960786,1.0986122886681098,1.4142135623730951,0.5,0.18232155679395465,0.4472135954999579,5.0,0.7426989593891931,1.049571341072154,0.907770515613653,0,0,0,0,0,0
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,2015,9,17,3,3,2015,9,21,0,3,False,False,True,False,False,True,False,False,True,False,5.656854249492381,0.03125,138.3473888441701,5.22466039707419e-05,4.4693962808107885,9.289994617867118,0.011586948461253244,1.9459101490553132,2.449489742783178,0.16666666666666666,0.18232155679395465,0.4472135954999579,5.0,2.3711031851244466,3.1159589214237084,0.10299509743336219,0,0,2,3,0,2
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,2015,9,17,3,3,2015,9,21,0,3,False,False,True,False,False,True,False,False,True,False,5.744562646538029,0.030303030303030304,138.3473888441701,5.22466039707419e-05,2.061532121136268,2.6187783411354233,0.1458151064450277,1.9459101490553132,2.449489742783178,0.16666666666666666,0.5306282510621704,0.8366600265340756,1.4285714285714286,0.0,0.0,-0.17497812773403326,0,0,0,3,1,0
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,2015,9,17,3,3,2015,9,21,0,3,False,False,True,False,False,True,False,False,True,False,5.830951894845301,0.029411764705882353,138.3473888441701,5.22466039707419e-05,2.818995095053937,3.9698866482558417,0.06345177664974619,1.0986122886681098,1.4142135623730951,0.5,0.18232155679395465,0.4472135954999579,5.0,1.5142477254303512,1.8830825791770258,0.2820078962210942,0,0,0,0,0,1
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,2017,10,19,3,4,2017,10,23,0,4,False,True,False,False,True,False,False,False,True,False,5.916079783099616,0.02857142857142857,277.6598638622442,1.2971009793112393e-05,3.416808229176303,5.428812024743535,0.03393051031487514,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.18232155679395465,0.4472135954999579,5.0,2.3930471761099046,3.1538547842283418,0.10053484537740781,0,2,1,1,0,2
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,2016,12,8,3,4,2016,12,10,5,4,False,False,False,True,False,False,False,False,False,True,6.0,0.027777777777777776,274.0072991728505,1.3319126265316994e-05,7.001740945642436,33.12920162032282,0.0009111252031809203,2.0794415416798357,2.6457513110645907,0.14285714285714285,0.18232155679395465,0.4472135954999579,5.0,4.824094448609479,11.111872029500699,0.008098890694941515,0,2,3,3,0,3
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,2016,12,8,3,4,2016,12,10,5,4,False,False,False,True,False,False,False,False,False,False,6.082762530298219,0.02702702702702703,274.0072991728505,1.3319126265316994e-05,5.257078618531439,13.817380359532699,0.005237795935470355,1.791759469228055,2.23606797749979,0.2,0.4700036292457356,0.7745966692414834,1.6666666666666667,0.0,0.0,-0.006758446368348844,0,2,2,2,1,0
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,2015,12,27,6,4,2015,12,31,3,4,False,False,True,False,True,False,False,False,True,False,6.164414002968976,0.02631578947368421,277.5626055505316,1.2980101504393764e-05,4.739071510179493,10.6455624557841,0.008823944656219116,2.302585092994046,3.0,0.1111111111111111,0.18232155679395465,0.4472135954999579,5.0,3.5949807776698783,5.951050327463212,0.028236622899901174,0,2,2,3,0,3
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,2015,12,27,6,4,2015,12,31,3,4,False,False,True,False,True,False,False,False,False,False,6.244997998398398,0.02564102564102564,277.5626055505316,1.2980101504393764e-05,6.279270111934266,23.07377732405338,0.0018782898246278359,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.2776317365982795,0.565685424949238,3.125,0.0,0.0,-0.021287284679115472,0,2,3,1,1,0
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,2015,12,27,6,4,2015,12,31,3,4,False,False,True,False,True,False,False,False,False,False,6.324555320336759,0.025,277.5626055505316,1.2980101504393764e-05,5.361564429111865,14.562211370530232,0.0047156909902007944,1.3862943611198906,1.7320508075688772,0.3333333333333333,0.262364264467491,0.5477225575051661,3.3333333333333335,0.0,0.0,-0.06601967386281112,0,2,2,1,1,0
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,2015,12,27,6,4,2015,12,31,3,4,False,False,True,False,True,False,False,False,False,True,6.4031242374328485,0.024390243902439025,277.5626055505316,1.2980101504393764e-05,5.919345365229957,19.26572085337063,0.0026941977756703163,1.6094379124341003,2.0,0.25,0.18232155679395465,0.4472135954999579,5.0,3.7555188917800435,6.461919219550798,0.023948424672625035,0,2,3,2,0,3
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,2017,9,10,6,3,2017,9,15,4,3,False,False,True,True,False,False,False,False,False,True,6.48074069840786,0.023809523809523808,246.04877565230842,1.6518004625041296e-05,4.998346765120501,12.131281877856107,0.006794955425092411,1.6094379124341003,2.0,0.25,0.18232155679395465,0.4472135954999579,5.0,2.8654185557997414,4.068955639964633,0.06039960377859921,0,2,2,2,0,2
